discriminant,regime_code,x,sigma,diffusion,U_geom,U_fin,U_eff
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.774999999999999911e+00,3.540125000000000077e-01,6.266242507812500029e-02,-7.080249999999999738e-03,6.631709814039289663e-02,5.923684814039289342e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.767500000000000071e+00,3.531811249999999847e-01,6.236845352813280563e-02,-7.063622500000000907e-03,6.628505064100637112e-02,5.922142814100637281e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.759999999999999787e+00,3.523519999999999985e-01,6.207596595199999651e-02,-7.047039999999999207e-03,6.625345241020706710e-02,5.920641241020706963e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.752499999999999947e+00,3.515251249999999938e-01,6.178495675313280810e-02,-7.030502499999999842e-03,6.622230168397716388e-02,5.919179918397715623e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.745000000000000107e+00,3.507005000000000261e-01,6.149542035012500740e-02,-7.014010000000001077e-03,6.619159669268759316e-02,5.917758669268758515e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.737499999999999822e+00,3.498781250000000398e-01,6.120735117675782377e-02,-6.997562500000001177e-03,6.616133566098378327e-02,5.916377316098378469e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.729999999999999982e+00,3.490579999999999794e-01,6.092074368199999063e-02,-6.981159999999999276e-03,6.613151680767076490e-02,5.915035680767077170e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.722500000000000142e+00,3.482401250000000115e-01,6.063559233000781479e-02,-6.964802500000000576e-03,6.610213834559740265e-02,5.913733584559740381e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.714999999999999858e+00,3.474245000000000250e-01,6.035189160012500997e-02,-6.948490000000000742e-03,6.607319848153982156e-02,5.912470848153981995e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.707500000000000018e+00,3.466111250000000199e-01,6.006963598688282169e-02,-6.932222500000000641e-03,6.604469541608413985e-02,5.911247291608413834e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.700000000000000178e+00,3.457999999999999963e-01,5.978881999999999947e-02,-6.916000000000001140e-03,6.601662734350836892e-02,5.910062734350837038e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.692499999999999893e+00,3.449911250000000096e-01,5.950943816438281769e-02,-6.899822500000001371e-03,6.598899245166355010e-02,5.908916995166355046e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.685000000000000053e+00,3.441845000000000043e-01,5.923148502012499927e-02,-6.883689999999998733e-03,6.596178892185411424e-02,5.907809892185411638e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.677500000000000213e+00,3.433801250000000360e-01,5.895495512250782666e-02,-6.867602500000002767e-03,6.593501492871750580e-02,5.906741242871750563e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.669999999999999929e+00,3.425780000000000491e-01,5.867984304200001694e-02,-6.851560000000001330e-03,6.590866864010312687e-02,5.905710864010313421e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.662500000000000089e+00,3.417781250000000437e-01,5.840614336425782593e-02,-6.835562500000002227e-03,6.588274821695037919e-02,5.904718571695037610e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.655000000000000249e+00,3.409805000000000197e-01,5.813385069012500656e-02,-6.819609999999999388e-03,6.585725181316609556e-02,5.903764181316609183e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.647499999999999964e+00,3.401851249999999771e-01,5.786295963563280187e-02,-6.803702499999999750e-03,6.583217757550122173e-02,5.902847507550122025e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.640000000000000124e+00,3.393920000000000270e-01,5.759346483200000755e-02,-6.787840000000000713e-03,6.580752364342672134e-02,5.901968364342671802e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.632499999999999840e+00,3.386011250000000028e-01,5.732536092563281227e-02,-6.772022500000001409e-03,6.578328814900888388e-02,5.901126564900888161e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.625000000000000000e+00,3.378125000000000155e-01,5.705864257812500590e-02,-6.756249999999997501e-03,6.575946921678380019e-02,5.900321921678380876e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.617500000000000160e+00,3.370261250000000652e-01,5.679330446625783374e-02,-6.740522500000000264e-03,6.573606496363121332e-02,5.899554246363121479e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.609999999999999876e+00,3.362419999999999853e-01,5.652934128199999658e-02,-6.724840000000000158e-03,6.571307349864773106e-02,5.898823349864772830e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.602500000000000036e+00,3.354601249999999979e-01,5.626674773250781025e-02,-6.709202499999998050e-03,6.569049292301924747e-02,5.898129042301925029e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.595000000000000195e+00,3.346805000000000474e-01,5.600551854012501829e-02,-6.693610000000000011e-03,6.566832132989278148e-02,5.897471132989277887e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.587499999999999911e+00,3.339031249999999673e-01,5.574564844238279887e-02,-6.678062499999998236e-03,6.564655680424769102e-02,5.896849430424769278e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.580000000000000071e+00,3.331279999999999797e-01,5.548713219199999380e-02,-6.662560000000001398e-03,6.562519742276611001e-02,5.896263742276611208e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.572499999999999787e+00,3.323551249999999735e-01,5.522996455688280321e-02,-6.647102499999998221e-03,6.560424125370295512e-02,5.895713875370295343e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.564999999999999947e+00,3.315845000000000042e-01,5.497414032012500062e-02,-6.631690000000002583e-03,6.558368635675512759e-02,5.895199635675512501e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.557500000000000107e+00,3.308161250000000164e-01,5.471965428000781506e-02,-6.616322500000001473e-03,6.556353078293020165e-02,5.894720828293019410e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.549999999999999822e+00,3.300499999999999545e-01,5.446650124999998649e-02,-6.600999999999997495e-03,6.554377257441450222e-02,5.894277257441450646e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.542499999999999982e+00,3.292861249999999851e-01,5.421467605875780749e-02,-6.585722500000001922e-03,6.552440976444065535e-02,5.893868726444065342e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.535000000000000142e+00,3.285244999999999971e-01,5.396417355012499834e-02,-6.570490000000000011e-03,6.550544037715444468e-02,5.893495037715444640e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.527499999999999858e+00,3.277651249999999905e-01,5.371498858313281111e-02,-6.555302500000000435e-03,6.548686242748121000e-02,5.893155992748121130e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.520000000000000018e+00,3.270080000000000209e-01,5.346711603200000884e-02,-6.540159999999999724e-03,6.546867392099174621e-02,5.892851392099174301e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.512500000000000178e+00,3.262531250000000327e-01,5.322055078613282392e-02,-6.525062499999999613e-03,6.545087285376752217e-02,5.892581035376752430e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.504999999999999893e+00,3.255004999999999704e-01,5.297528775012499275e-02,-6.510010000000000970e-03,6.543345721226558054e-02,5.892344721226558391e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.497500000000000053e+00,3.247501250000000006e-01,5.273132184375781129e-02,-6.495002500000001192e-03,6.541642497318279903e-02,5.892142247318279957e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.490000000000000213e+00,3.240020000000000122e-01,5.248864800200000319e-02,-6.480039999999999412e-03,6.539977410331973551e-02,5.891973410331974303e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.482499999999999929e+00,3.232561250000000053e-01,5.224726117500781697e-02,-6.465122500000001701e-03,6.538350255944405665e-02,5.891838005944405321e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.475000000000000089e+00,3.225125000000000353e-01,5.200715632812501210e-02,-6.450250000000001122e-03,6.536760828815339763e-02,5.891735828815339998e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.467500000000000249e+00,3.217711250000000467e-01,5.176832844188282434e-02,-6.435422500000000275e-03,6.535208922573795820e-02,5.891666672573795532e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.459999999999999964e+00,3.210319999999999840e-01,5.153077251199999348e-02,-6.420640000000000028e-03,6.533694329804255740e-02,5.891630329804255911e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.452500000000000124e+00,3.202951250000000138e-01,5.129448354938281884e-02,-6.405902499999999514e-03,6.532216842032835535e-02,5.891626592032835757e-02
