discriminant,regime_code,k,fd_price,implied_vol
4.000000000000010492e-04,1.000000000000000000e+00,1.666666666666665186e-01,9.761127740443037437e-02,3.599937995101160637e-01
4.000000000000010492e-04,1.000000000000000000e+00,2.500000000000000000e-01,7.334747912172139006e-02,3.650165875070481292e-01
4.000000000000010492e-04,1.000000000000000000e+00,3.333333333333332593e-01,5.388490831942573805e-02,3.700377209808576318e-01
4.000000000000010492e-04,1.000000000000000000e+00,4.166666666666665186e-01,3.873104999180675134e-02,3.750572745107825234e-01
4.000000000000010492e-04,1.000000000000000000e+00,5.000000000000000000e-01,2.726104378137166051e-02,3.800753299073980629e-01
4.000000000000010492e-04,1.000000000000000000e+00,5.833333333333332593e-01,1.880815923257718458e-02,3.850919730371164529e-01
4.000000000000010492e-04,1.000000000000000000e+00,6.666666666666665186e-01,1.273305924861250008e-02,3.901072914732682251e-01
4.000000000000010492e-04,1.000000000000000000e+00,7.500000000000000000e-01,8.468046741514500750e-03,3.951213727587629121e-01
4.000000000000010492e-04,1.000000000000000000e+00,8.333333333333332593e-01,5.538444706124820080e-03,4.001343031315115484e-01
4.000000000000010492e-04,1.000000000000000000e+00,9.166666666666665186e-01,3.566456648547672564e-03,4.051461666040726550e-01
4.000000000000010492e-04,1.000000000000000000e+00,1.000000000000000000e+00,2.263680237041455594e-03,4.101570443167497637e-01
